I1  n. (also i) (pl. Is or i's) 1 ninth letter of the alphabet. 2 (as a roman numeral) 1.
Idiot  n. 1 stupid person. 2 mentally deficient person incapable of rational conduct.  idiotic adj. Idiotically adv. [greek idiotes, = private citizen, ignorant person]

Idle  —adj. (idler, idlest) 1 lazy, indolent. 2 not in use; not working. 3 (of time etc.) Unoccupied. 4 purposeless; groundless (idle rumour). 5 useless, ineffective (idle protest). —v. (-ling) 1 be idle. 2 run (an engine) or (of an engine) be run slowly without doing any work. 3 (foll. By away) pass (time etc.) In idleness.  idleness n. Idler n. Idly adv. [old english]

Idol  n. 1 image of a deity etc. As an object of worship. 2 object of excessive or supreme adulation. [greek eidolon image, phantom]

Idolater  n. 1 worshipper of idols. 2 devoted admirer.  idolatrous adj. Idolatry n. [related to *idol, greek latreuo worship]

Idolize  v. (also -ise) (-zing or -sing) 1 venerate or love excessively. 2 make an idol of.  idolization n.

Idyll  n. 1 short description, esp. In verse, of a peaceful or romantic, esp. Rural, scene or incident. 2 such a scene or incident. [greek eidullion]

Idyllic  adj. 1 blissfully peaceful and happy. 2 of or like an idyll.  idyllically adv.

I.e.  Abbr. That is to say. [latin id est]

-ie  see *-y2.

If  —conj. 1 introducing a conditional clause: a on the condition or supposition that; in the event that (if he comes i will tell him; if you are tired we can rest). B (with past tense) implying that the condition is not fulfilled (if i knew i would say). 2 even though (i'll finish it, if it takes me all day). 3 whenever (if i am not sure i ask). 4 whether (see if you can find it). 5 expressing a wish, surprise, or request (if i could just try!; if it isn't my old hat!; if you wouldn't mind?). —n. Condition, supposition (too many ifs about it).  if only 1 even if for no other reason than (i'll come if only to see her). 2 (often ellipt.) Expression of regret; i wish that (if only i had thought of it). [old english]

Iffy  adj. (-ier, -iest) colloq. Uncertain; dubious.

Igbo  var. Of *ibo.

Igloo  n. Eskimo dome-shaped dwelling, esp. Of snow. [eskimo, = house]

Igneous  adj. 1 of fire; fiery. 2 (esp. Of rocks) volcanic. [latin ignis fire]
Ignite  v. (-ting) 1 set fire to. 2 catch fire. 3 provoke or excite (feelings etc.). [latin ignio ignit- set on fire]

Ignition  n. 1 mechanism for, or the action of, starting combustion in an internal-combustion engine. 2 igniting or being ignited.

Ignoble  adj. (-bler, -blest) 1 dishonourable. 2 of low birth, position, or reputation.  ignobly adv. [latin: related to *in-1, *noble]

Ignominious  adj. Shameful, humiliating.  ignominiously adv. [latin: related to *ignominy]

Ignominy  n. Dishonour, infamy. [latin: related to *in-1, latin (g)nomen name]

Ignoramus  n. (pl. -muses) ignorant person. [latin, = we do not know: related to *ignore]

Ignorance  n. Lack of knowledge. [french from latin: related to *ignore]

Ignorant  adj. 1 (often foll. By of, in) lacking knowledge (esp. Of a fact or subject). 2 colloq. Uncouth.  ignorantly adv.

Ignore  v. (-ring) refuse to take notice of; intentionally disregard. [latin ignoro not know]

Iguana  n. Large american, w. Indian, or pacific lizard with a dorsal crest. [spanish from carib iwana]

Iguanodon  n. Large plant-eating dinosaur with small forelimbs. [from *iguana, which it resembles, after mastodon etc.]

Ikebana  n. Art of japanese flower arrangement. [japanese, = living flowers]

Ikon  var. Of *icon.

Il-  prefix assim. Form of *in-1, *in-2 before l.

Ileum  n. (pl. Ilea) third and last portion of the small intestine. [latin ilium]

Ilex  n. (pl. -es) 1 tree or shrub of the genus including the common holly. 2 holm-oak. [latin]

Iliac  adj. Of the lower body (iliac artery). [latin ilia flanks]

Ilk  n. 1 colloq., usu. Derog. Sort, family, class, etc. 2 (in of that ilk) scot. Of the ancestral estate with the same name as the family (guthrie of that ilk). [old english]

Ill  —adj. (attrib. Except in sense 1) 1 (usu. Predic.) Not in good health; unwell. 2 wretched, unfavourable (ill fortune; ill luck). 3 harmful (ill effects). 4 hostile, unkind (ill feeling). 5 faulty, unskilful (ill management). 6 (of manners or conduct) improper. —adv. 1 badly, wrongly, imperfectly (ill-matched; ill-provided). 2 scarcely (can ill afford it). 3 unfavourably (spoke ill of them). —n. 1 injury, harm. 2 evil.  ill at ease embarrassed, uneasy. [old norse]

I'll  contr. I shall; i will.

Ill-advised  adj. Foolish; imprudent.

Ill-assorted  adj. Badly matched; mixed.

Ill-bred  adj. Badly brought up; rude.

Ill-defined  adj. Not clearly defined.

Ill-disposed  adj. 1 (often foll. By towards) unfavourably disposed. 2 malevolent.

Illegal  adj. 1 not legal. 2 criminal.  illegality n. (pl. -ies). Illegally adv.

Illegible  adj. Not legible.  illegibility n. Illegibly adv.

Illegitimate  adj. 1 born of parents not married to each other. 2 unlawful. 3 improper. 4 wrongly inferred.  illegitimacy n. Illegitimately adv.

Ill-fated  adj. Destined to or bringing bad fortune.

Ill-favoured  adj. Unattractive.

Ill-founded  adj. (of an idea etc.) Baseless.

Ill-gotten  adj. Gained unlawfully or wickedly.

Ill health  n. Poor physical or mental condition.

Ill humour  n. Irritability.

Illiberal  adj. 1 intolerant, narrow-minded. 2 without liberal culture; vulgar. 3 stingy; mean.  illiberality n. Illiberally adv.

Illicit  adj. Unlawful, forbidden.  illicitly adv.

Illiterate  —adj. 1 unable to read. 2 uneducated. —n. Illiterate person.  illiteracy n. Illiterately adv.

Ill-mannered  adj. Having bad manners; rude.

Ill-natured  adj. Churlish, unkind.

Illness  n. 1 disease. 2 being ill.

Illogical  adj. Devoid of or contrary to logic.  illogicality n. (pl. -ies). Illogically adv.

Ill-omened  adj. Doomed.

Ill-tempered  adj. Morose, irritable.

Ill-timed  adj. Done or occurring at an inappropriate time.

Ill-treat  v. Treat badly; abuse.
Illuminate  v. (-ting) 1 light up; make bright. 2 decorate (buildings etc.) With lights. 3 decorate (a manuscript etc.) With gold, colour, etc. 4 help to explain (a subject etc.). 5 enlighten spiritually or intellectually. 6 shed lustre on.  illuminating adj. Illumination n. Illuminative adj. [latin lumen light]

